dopant,x_Hf,residual_K,n_records_at_x,support_formula
Lu,0.599999999944,456.5859230074966,1,0.25Lu2O3-0.75HfO2
Lu,0.6666666666666666,417.33141016670015,1,0.2Lu2O3-0.8HfO2
Lu,0.7391304348200378,362.8404862994107,1,0.15Lu2O3-0.85HfO2
Lu,0.8181818181818182,284.42846465704724,1,0.1Lu2O3-0.9HfO2
Lu,0.9047619048040816,166.669322268242,1,0.05Lu2O3-0.95HfO2
Sc,0.599999999944,365.0076754188385,1,0.25Sc2O3-0.75HfO2
Yb,0.599999999944,439.2824943675828,1,Yb0.4Hf0.6O1.8
